#,Question,Answer,,,RAG 3 Answers
45,Are Restricted ADIs required to conduct some elements of banking business during the restricted phase?,"Yes, Restricted ADIs are expected to carry out some elements of banking business (i.e. at least one deposit or lending product) during the restricted phase. The Information Paper states on page 22 that APRA expects Restricted ADIs to be conducting limited business during the restricted phase. APRA strongly re-inforces this expectation. This will result in significant benefits to both the applicant and APRA, as set out below: -ensures the Restricted ADI is building both staff and operational capabilities during the restricted phase; -provides the Restricted ADI with an opportunity to test its business proposition with customers; -demonstrates to investors and potential investors that the applicant can launch a product and attract customers, which should assist the applicant in raising capital; and -allows APRA to assess the ability of the Restricted ADI to launch and manage products, providing a more informed assessment of risk management capabilities.",,,
46,Does my entity need to comply with all of the Prudential Standards?,"Yes, your entity will need to comply with all of the applicable Prudential Standards. You should complete self-assessments against the requirements of the Prudential Standards. A self-assessment consists of a paragraph by paragraph review of the requirements of the prudential standard and cross references the relevant clause in your policies or otherwise contains an explanation as to why a requirement is not applicable. The purpose of the self-assessment is to enable management and the Board to gain comfort that the entity will meet the requirements or alternatively highlight areas of non-compliance that may lead to further discussions with APRA. APRA may ask to see your self-assessments. In the event that your entity is unable to meet a prudential requirement, there may be exceptional circumstances where APRA will consider a request to adjust or exclude a requirement, for example where the proposed business model is substantially different to existing models and it is not possible under this business model to comply with the requirement. You should be aware that a request to adjust or exclude a requirement of the Prudential Standard will likely add further time to the licence application due to the need to consider the proposal, including the impact on desired prudential outcomes and the precedent it would set. A request for an adjustment or exclusion of a requirement may not be approved. You should factor in time for the review of any request and have a contingency plan if the request is not granted.",,,
47,What is APRA's role in reviewing policies/documents?,"APRA reviews documents to assess adherence to and understanding of prudential standards, as well as to obtain a view in regard to the competency of your staff. APRA does not approve the individual policies, as ensuring the policies are suitable for your entity is the responsibility of the Board and management. APRA will seek to ensure that the policies meet the necessary prudential requirements and that APRA has confidence that they can be implemented effectively ahead of granting a licence.",,,
48,What does APRA do?,"The Australian Prudential Regulation Authority (APRA) is the prudential regulator of the financial services industry. It oversees banks, mutuals, general insurance and reinsurance companies, life insurance, private health insurers, friendly societies, and most members of the superannuation industry.

Its primary functions include Regulation and Supervision, Financial Stability, Consumer Protection, Prudential Standards, and Crisis Management.",,,
49,How does APRA regulate bank lending safety?,"APRA also undertakes regular reviews and assessments of regulated entities. If APRA identifies any risks during the supervision process, it will intervene early to find a solution before an entity's ability to meet its financial obligations to its customers is threatened.",,,
50,how does APRA regulate Consumer Protection?,"APRA's remit involves regulating financial entities in accordance with the prudential laws of the Commonwealth, setting prudential standards for those entities, monitoring compliance with those laws and standards through day-to-day supervision, and intervening early to resolve issues.",,,
51,Does the IRS audit my policy?,I don't have the information to answer this.,,,
52,Do I need to pay VAT for goods and services?,I don't have the information to answer this.,,,
53,How can I register to the Companies House,I don't have the information to answer this.,,,
54,Do American banks lend to people less than age 13?,I don't have the information to answer this.,,,
55,What is the anti competitive law in America,I don't have the information to answer this.,,,
56,Will I need to pay tax if I live in Ireland?,I don't have the information to answer this.,,,
57,What are the regulations for parking fines?,I don't have the information to answer this.,,,
58,What are policies banking in America for Americans?,I don't have the information to answer this.,,,
59,Does APRA regulate banks in Italy? ,I don't have the information to answer this.,,,
60,What are the lending protection in London?,I don't have the information to answer this.,,,
61,Does money grow on trees?,I don't have the information to answer this.,,,
62,Where are my keys?,I don't have the information to answer this.,,,
63,Where is the next petrol station?,I don't have the information to answer this.,,,
64,How do I make a good apple pie?,I don't have the information to answer this.,,,
65,How do I build Lego Star Wars?,I don't have the information to answer this.,,,
66,How many times did my dog bark at stragners?,I don't have the information to answer this.,,,
67,Can I grow onions in Autum?,I don't have the information to answer this.,,,
