#,Question,Answer,RAG 1
31,What is a responsible person in APRA?,"Persons who are responsible for the management and oversight of an APRA-regulated entity need to have appropriate skills, experience and knowledge and act with honesty and integrity. These skills and qualities strengthen the protection afforded to depositors, policyholders and/or other stakeholders.","APRA defines a ""responsible person"" as an individual whose activity may materially affect, either directly or indirectly, the whole or a substantial part of the business or financial standing of an APRA-regulated institution or its group. This definition encompasses a broad range of individuals, including:

* **Directors:** Individuals who make or participate in making decisions affecting the whole or substantial part of the institution's business.
* **Senior Managers:** Individuals with senior management responsibilities, including those who enforce policies, implement strategies, and oversee development.
* **Employees:** Individuals who play a significant role in the management and control of the institution or its group.
* **Consultants and Contractors:** Individuals who may have material impact on the institution's prudential matters.

APRA may also determine that a person is a responsible person if they are satisfied that the person plays a significant role in the management and control of the institution or its group and their activity may materially impact prudential matters."
32,How must banks structure their remuneration practices under CPS 510 to align with risk management objectives?,CPS 510 54 The Remuneration Policys performance-based components of remuneration must be designed to encourage behaviour that supports: (a) the institutions long-term financial soundness; and (b) the risk management framework of the institution. (c) the risk management framework of the RSE licensee.,"APRA's Prudential Standard CPS 510, Remuneration, outlines requirements for banks to design remuneration arrangements that are aligned with their risk management objectives. This includes:

* **Aligning Remuneration with Risk:**  Variable remuneration arrangements must be structured to reflect the financial and non-financial risks that could materially impact the entity's risk profile, sustainable performance, and long-term soundness. This ensures that remuneration incentives are aligned with responsible risk-taking.
* **Payout and Vesting Schedules:**  Payout and vesting schedules for variable remuneration should be commensurate with the potential range of risk performance outcomes, sensitive to the time horizon of the risks involved, and aligned with appropriate risk-adjusted performance targets.
* **Variable Remuneration Adjustment Tools:**  Remuneration frameworks must include appropriate adjustment tools to incentivize responsible risk management. These tools should be clearly defined and include:
    * **In-period Adjustments (Malus):** Allow for downward adjustments to remuneration during the performance period if there is a material adverse risk or conduct outcome.
    * **Clawback Arrangements:**  Enable the recovery of variable remuneration paid or vested if there is significant misconduct or a material adverse outcome that occurs within a specified timeframe.
* **Weighting Non-financial Measures:** A material weight must be given to non-financial measures in remuneration performance assessments. This helps ensure that remuneration is not solely driven by short-term financial results and promotes a more balanced approach to risk management.
* **Downward Adjustments Based on Risk Conduct:** Variable remuneration should be adjusted downwards, potentially to zero, based on clearly defined risk criteria. This helps to disincentivize risky behavior and ensure that remuneration is commensurate with the risks taken.
* **Mitigating Conflict of Interest:** Banks must take reasonable steps to assess and mitigate conflicts of interest when designing remuneration arrangements. This may involve deferring variable remuneration and applying appropriate service contract terms.
* **Transparency and Disclosure:** Banks must make clear, comprehensive, and comparable public disclosures about their remuneration frameworks and practices. This enhances transparency and accountability, promoting greater market discipline.

By implementing these requirements, banks can create remuneration structures that encourage prudent risk management and long-term sustainability."
33,What is risk culture assessment?,"The Risk Culture Assessment report aggregates information gained during each step. The report provides (i) maturity levels for each Risk Culture attribute, (ii) improvement opportunities identified, and (iii) mitigation actions formulated as recommendations (see Examples).","The provided text doesn't specifically define ""risk culture assessment."" It does mention that an APRA-regulated institution must have a risk management strategy (RMS) that outlines the key elements of the framework giving effect to the strategy. This framework should include a section describing the institution's approach to managing material risk, the policies and procedures for dealing with risk management matters, and a summary of the roles and responsibilities of the risk management function. 

The text also mentions the importance of instilling an appropriate risk culture across the institution. However, it doesn't provide specific details on how to conduct a risk culture assessment.

**Therefore, I don't have information about what constitutes a risk culture assessment.**"
34,What is CPS 230?,"What is CPS 230? CPS 230 requires regulated APRA-regulated entities to prepare for service disruptions by understanding the impacts of such events to customers and the wider financial system, take action to prevent these and enhance its operational resilience.",I don't have information about CPS 230. The provided text is about APRA guidelines.
35,When should I first contact APRA,"Once you have developed an early stage business plan it can be beneficial to have a meeting with APRA. At this meeting APRA can provide high level views of any likely challenges with your proposals, allowing you to make adjustments to ensure your business develops in a way that is most likely to result in a successful application. APRA will also be able to provide advice about APRA s prudential requirements and expectations and answer any questions you have about what to expect in the licensing process.   ",I don't have information about when you should first contact APRA.
36,If I am applying for an ARPA licence will I need any other tyoe of licence,"It is likely that you will need to be licenced by ASIC. You may also need to seek authorisation or to register with other regulators, such as the RBA and AUSTRAC. You should allow time for their assessment processes.",I don't have information about applying for an ARPA licence.
37,I want to register a company name with an APRA regulate restricted term. How do I do this?,"Once you have lodged your application with APRA you should advise APRA in writing of the specific company name that you want to register and request APRA s consent if the name includes an APRA regulated restricted term. APRA regulated restricted terms include the words Ãbank , Ãbanker , Ãbanking , Ãbuilding society , Ãcredit union , Ãcredit society  and Ãfriendly society . If you want to register a company name that uses the restricted words in section 66 of the Banking Act 1959 (such as the words Ãbank , Ãbanker  and Ãbanking ), please also refer to the APRA s Restricted Words under the Banking Act 1959 Guidelines: If consent is granted by APRA, it will usually be subject to conditions, such as not using the company name publicly prior to licensing. It is an offence for a person to use a restricted word or expression under section 66 in relation to a financial business, except where APRA has granted a consent or exemption, or where a statutory exception applies.

If you want to register a company name that uses the restricted term Ãfriendly society  you will need to apply for consent from APRA under section 16E of the Life Insurance Act 1995.  It is an offence for a person to use the restricted expression Ãfriendly societyÃ in relation to a financial business, except where APRA has granted a consent or determined that section 16E does not apply to that person. ",I don't have information about registering a company name with an APRA regulate restricted term.
38,Can APRA provide further guidance beyond CPS and GPG220 Risk Management as to what should be included in the Risk Appetite Statement (RAS)?,"What is a RAS?The RAS is a document that provides boundaries within which both management and staff know how it is acceptable to operate. It provides ground rules which should be very clear for management in terms of what they are, and are not, allowed to do in pursuit of the institution s business strategy and objectives. Without such boundaries and ground rules, management (and ultimately all staff) may be unaware that they are operating outside of the risk appetite set by the Board.  How should the RAS be structured? APRA does not prescribe the structure or form of your RAS and you are generally free to adopt a risk appetite that suits the particular circumstances of your business, within the requirements of the prudential standards.A RAS should be a concise document and should not include all management reporting. It is unlikely that a RAS would need to have an appendix as it would not be expected that there would be ancillary information in a RAS.  What content should be covered in the RAS? The RAS should cover both high-level qualitative statements and, where appropriate, quantitative measures, which combined clearly capture your attitude towards, and level of acceptance of, its different risks. The RAS should consider the material risks to your company as well as to your reputation with policyholders/depositors, investors and customers. The RAS should also closely align with your strategic direction.Qualitative statements should set the overall tone for your approach to risk taking and should also clearly articulate the Board s motivations for taking on or avoiding certain types of risks or exposures. In this way, qualitative statements advise stakeholders of your attitude toward risk taking by placing high-level boundaries around the types of activities you are prepared to undertake.Qualitative statements are likely where a hard boundary for operations is being set rather than a metric with variables or a scale.How do we demonstrate that the RAS has/will be applied? Your business strategy and policies should operate in line with your RAS. Once the Board has approved your RAS, you should be able to evidence decisions being made in line with it.Additionally, as the RAS needs to be used by a number of stakeholders consistently across all of your business operations it must be easy to communicate and written in plain English. A RAS which is not easily understood will be difficult to embed throughout your organisation, as staff will not know how they are expected to behave and what they are permitted to do in order to operate within the risk appetite. * Information contained in this section is a summary of all information available from APRA including Information Papers, letters to industry and speeches. The questions and answers are designed to clarify CPS 220 Risk Management but do not form part of the law or create enforceable requirements. If there is a conflict between the guidance contained in this FAQ and CPS 220 Risk Management, then the requirements of CPS 220 Risk Management prevail.","The provided text does not mention any further guidance provided by APRA beyond CPS and GPG220 Risk Management for the content of a Risk Appetite Statement (RAS). 

I don't have information about additional APRA guidance beyond CPS and GPG220 Risk Management for the content of a Risk Appetite Statement (RAS)."
39,What is required in the external auditor's verification of minimum captial?,"APRA requires the applicant to provide written verification from its appointed external auditor that it meets the minimum regulatory capital level required prior to licensing. This must include meeting the applicable minimum level of capital and capital ratios. The written verification should set out the steps taken by the external auditor in making the verification, including the calculation of minimum capital requirements where applicable. For life insurers, the verification should address the solvency of each statutory fund, as well as the minimum capital requirements and capital ratios for each of its statutory funds and the life company as a whole. RSE applicants are required to attach an audited copy of the applicant s statement of financial position for the last two years to their applications, but do not need a separate verification of solvency.
",I don't have information about what is required in the external auditor's verification of minimum captial.
40,What documents do I need for a Non-Operating Holding Company?,The level of detail and need for difference from the underlying ADI or insurer will depend on whether there are other entities under the NOHC and the type of operations in those entities. It is possible that one set of policies can cover both the NOHC and ADI or insurer with differences for the NOHC and ADI or insurer detailed in the document.  You should discuss the requirements that will suit your circumstances with APRA.,"I don't have information about the specific documents required for a Non-Operating Holding Company. The provided context focuses on Prudential Standards for Authorised Deposit-Taking Institutions (ADIs), not Non-Operating Holding Companies."
41,Our business won't have a trading desk - do we need any policies covering market risks?,"Yes, you will need at least a policy detailing how you will address managing Interest Rate Risk in the Banking Book (IRRBB). The market risk policy/ies should also specifically state that the ADI will not undertake any proprietary trading business if this is the case. 

","Yes, even if your business won't have a trading desk, you still need policies covering market risks.  

The context you provided highlights the importance of a comprehensive risk management framework, including policies addressing market risks, for any financial institution.  This is true regardless of whether you engage in active trading or not. 

Here's why:

* **Market risks are inherent in any financial operation:** Even if you don't have a dedicated trading desk, you are still exposed to market risks. For example, interest rate fluctuations can impact your lending and borrowing activities, changes in exchange rates can impact your international operations, and commodity price movements can affect your supply chain or investment holdings. 
* **APRA guidelines emphasize a holistic risk management approach:**  APRA's prudential standards require financial institutions to have a robust risk management framework that addresses all material risks, including market risks. This framework should include policies, procedures, and controls to identify, measure, monitor, and manage these risks.
* **Failing to manage market risks can lead to serious consequences:**  Uncontrolled market risks can lead to significant financial losses, regulatory fines, reputational damage, and even insolvency. 

Therefore, even without a trading desk, it is crucial for your business to develop and implement policies that cover market risks. These policies should be tailored to your specific business model and risk profile and should be subject to regular review and updates."
42,"As a restricted ADI/ADI applicant, when do I need to provide information about compliance with the Bank Executive Accountability Regime (BEAR)?","The BEAR regime applies to Restricted ADI/ADIs and imposes notification obligations to APRA on compliance with the BEAR regime. Templates for these notification obligations, including accountability statements and accountability maps, are available on the APRA website and will need to be completed as a pre-licence requirement. The time frame for reporting changes of 14 calendar days applies to RADIs as well as ADIs.",I don't have information about the Bank Executive Accountability Regime (BEAR) in the provided context.
43,How should securitisation  warehouse funding risks be addressed?,"Start-up ADIs are often reliant on securitisation warehouse facilities to quickly build lending volumes. For start-up ADIs reliant on securitisation warehouse facilities (e.g. greater than 20 per cent of funding in any projected year), APRA expects the warehouse facility to be automatically placed into amortisation if the warehouse facility is not renewed.  Where this occurs, this will be considered long-term wholesale funding and will not add to the minimum MLH requirement. This approach reduces the risk that the reliance on warehouse facilities would result in a situation where the new ADI either has to transfer the mortgages to the warehouse provider, who may replace the new ADI as servicer or sell the mortgages to another party, or take the assets back on balance sheet at the end of the contractual term if the facility is not renewed. These scenarios would likely threaten the viability of the start-up ADI, as it is unlikely to have sufficient funding to repay the facility, and loss of mortgages will eliminate servicing income and retained equity in the warehoused mortgages.  
",I don't have information about how securitisation warehouse funding risks should be addressed.
44,Is there a minimum expectation in regard to operating captial at the point of licensing?,"Yes, in addition to the expectation that Restricted ADIs must hold capital of at least $3 million plus a resolution reserve (typically $1 million), APRA expects a Restricted ADI to have sufficient operating capital to enable the entity to cover expenses and planned lending for typically the first three months after licensing. This may vary where appropriate, for example where an applicant has a profitable existing business. This operating capital would reduce the pressure on Restricted ADIs to raise money immediately after licensing and help ensure that the Restricted ADI has the resources it needs to operationalise during the restricted period. ",I don't have information about a minimum expectation in regard to operating capital at the point of licensing.
45,Are Restricted ADIs required to conduct some elements of banking business during the restricted phase?,"Yes, Restricted ADIs are expected to carry out some elements of banking business (i.e. at least one deposit or lending product) during the restricted phase. The Information Paper states on page 22 that APRA expects Restricted ADIs to be conducting limited business during the restricted phase. APRA strongly re-inforces this expectation. This will result in significant benefits to both the applicant and APRA, as set out below: -ensures the Restricted ADI is building both staff and operational capabilities during the restricted phase; -provides the Restricted ADI with an opportunity to test its business proposition with customers; -demonstrates to investors and potential investors that the applicant can launch a product and attract customers, which should assist the applicant in raising capital; and -allows APRA to assess the ability of the Restricted ADI to launch and manage products, providing a more informed assessment of risk management capabilities.","Yes, according to the context, Restricted ADIs are **confined to providing purchased payment facilities** during the restricted phase.  This means they are limited in the banking business they can conduct.  They are subject to the condition of authority under Section 12A of the Banking Act."
46,Does my entity need to comply with all of the Prudential Standards?,"Yes, your entity will need to comply with all of the applicable Prudential Standards. You should complete self-assessments against the requirements of the Prudential Standards. A self-assessment consists of a paragraph by paragraph review of the requirements of the prudential standard and cross references the relevant clause in your policies or otherwise contains an explanation as to why a requirement is not applicable. The purpose of the self-assessment is to enable management and the Board to gain comfort that the entity will meet the requirements or alternatively highlight areas of non-compliance that may lead to further discussions with APRA. APRA may ask to see your self-assessments. In the event that your entity is unable to meet a prudential requirement, there may be exceptional circumstances where APRA will consider a request to adjust or exclude a requirement, for example where the proposed business model is substantially different to existing models and it is not possible under this business model to comply with the requirement. You should be aware that a request to adjust or exclude a requirement of the Prudential Standard will likely add further time to the licence application due to the need to consider the proposal, including the impact on desired prudential outcomes and the precedent it would set. A request for an adjustment or exclusion of a requirement may not be approved. You should factor in time for the review of any request and have a contingency plan if the request is not granted.",The provided context indicates that an **apraregulated institution** must comply with all of the Prudential Standards in their entirety unless otherwise expressly indicated.
47,What is APRA's role in reviewing policies/documents?,"APRA reviews documents to assess adherence to and understanding of prudential standards, as well as to obtain a view in regard to the competency of your staff. APRA does not approve the individual policies, as ensuring the policies are suitable for your entity is the responsibility of the Board and management. APRA will seek to ensure that the policies meet the necessary prudential requirements and that APRA has confidence that they can be implemented effectively ahead of granting a licence.","APRA has a significant role in reviewing policies and documents. 

**APRA's role in reviewing policies/documents:**

* **Prudential Standard:** APRA sets prudential standards, which are guidelines and requirements that regulated entities must follow. APRA reviews policies and documents to ensure they comply with these standards.
* **Risk Management:** APRA reviews policies and documents related to risk management, including business continuity plans, outsourcing arrangements, and credit risk management. 
* **Auditing:** APRA may require regulated entities to appoint an auditor to provide a report on specific aspects of their operations, such as their prudential reporting, risk management system, and financial position.
* **Data Collection:** APRA collects data from regulated entities to monitor their financial health and the overall financial system. They review the data collection policies and processes to ensure accuracy and reliability.
* **Reporting Requirements:** APRA establishes reporting standards that require regulated entities to provide information on a regular basis. They review the reporting forms and instructions to ensure they are clear and comprehensive.
* **Special Purpose Engagement:** APRA can request special purpose engagements from auditors to review particular aspects of a regulated entity's operations, such as their credit risk management or provisioning practices.

**Examples of APRA's review of policies/documents:**

* Reviewing a bank's business continuity plan to ensure it meets APRA's requirements for business continuity management.
* Reviewing a credit risk management policy to ensure it complies with APRA's credit risk management standards.
* Reviewing a reporting form to ensure it captures the required data and is presented in a clear and consistent manner.
* Requiring an audit of an insurance company's risk management system to assess its effectiveness.

In summary, APRA's role in reviewing policies and documents is crucial for ensuring the safety and soundness of the Australian financial system."
48,What does APRA do?,"The Australian Prudential Regulation Authority (APRA) is the prudential regulator of the financial services industry. It oversees banks, mutuals, general insurance and reinsurance companies, life insurance, private health insurers, friendly societies, and most members of the superannuation industry.

Its primary functions include Regulation and Supervision, Financial Stability, Consumer Protection, Prudential Standards, and Crisis Management.","APRA stands for the Australian Prudential Regulation Authority. It is established by the Australian Prudential Regulation Authority Act. APRA is responsible for prudential supervision of the Australian financial services industry, including banks, insurance companies, superannuation funds, and other financial institutions. This involves setting prudential standards, monitoring and supervising financial institutions, and taking action to ensure their financial soundness and stability."
49,How does APRA regulate bank lending safety?,"APRA also undertakes regular reviews and assessments of regulated entities. If APRA identifies any risks during the supervision process, it will intervene early to find a solution before an entity's ability to meet its financial obligations to its customers is threatened.","APRA, the Australian Prudential Regulation Authority, regulates bank lending safety in several ways.  Here are some key examples:

* **Lending Limits:**  APRA may set limits on specific types of lending, such as residential mortgages, investment loans, or commercial property loans.  This helps prevent excessive risk build-up in the banking system and ensure that banks have the capacity to manage their lending.  Limits may be based on factors like loan-to-value ratios (LVR), debt-to-income ratios (DTI), and loan purpose.

* **Provisioning Requirements:**  APRA may require banks to hold a certain level of provisions (also known as bad debt reserves) to cover potential losses on loans. This helps ensure banks have sufficient financial resources to absorb losses during economic downturns.  

* **Credit Risk Management:**  APRA establishes standards for credit risk management practices, requiring banks to have policies, processes, and practices in place to assess, monitor, and manage the risks associated with lending.  APRA may also conduct special purpose engagements, such as independent reviews, to assess the effectiveness of these practices.

* **Capital Adequacy:**  APRA sets capital adequacy requirements for banks to ensure they have enough capital to absorb potential losses.  These requirements include provisions for credit risk, interest rate risk, and operational risk.

* **Reporting Requirements:**  APRA requires banks to report a wide range of financial information, including lending data, asset quality, and capital levels.  This information helps APRA monitor banks' financial health and identify potential risks early.

* **Resolvability Assessments:**  APRA requires banks to have resolvability assessments, which are plans for how the bank can be safely wound down in case of failure.  These assessments help ensure that the bank can be resolved without causing significant disruption to the financial system.

In summary, APRA uses a combination of regulatory tools, including limits, requirements, and oversight to ensure that banks in Australia are lending safely and prudently."
50,how does APRA regulate Consumer Protection?,"APRA's remit involves regulating financial entities in accordance with the prudential laws of the Commonwealth, setting prudential standards for those entities, monitoring compliance with those laws and standards through day-to-day supervision, and intervening early to resolve issues.","I don't have information about how APRA regulates consumer protection. The provided context focuses on reporting requirements, lending limits, and audit-related matters. It does not mention consumer protection regulations."
51,Does the IRS audit my policy?,I don't have the information to answer this.,I don't have information about the IRS auditing policies.
52,Do I need to pay VAT for goods and services?,I don't have the information to answer this.,I don't have information about VAT. The provided context focuses on APRA guidelines for Australian financial institutions.
53,How can I register to the Companies House,I don't have the information to answer this.,I don't have information about how to register to the Companies House. The provided context focuses on Australian financial regulations and banking statistics.
54,Do American banks lend to people less than age 13?,I don't have the information to answer this.,I don't have information about American banking regulations.
55,What is the anti competitive law in America,I don't have the information to answer this.,I don't have information about the anti-competitive law in America.
56,Will I need to pay tax if I live in Ireland?,I don't have the information to answer this.,I don't have information about tax laws in Ireland.
57,What are the regulations for parking fines?,I don't have the information to answer this.,I don't have information about parking fines.
58,What are policies banking in America for Americans?,I don't have the information to answer this.,I don't have information about banking policies in America for Americans. The provided context focuses on Australian banking regulations and APRA guidelines.
59,Does APRA regulate banks in Italy? ,I don't have the information to answer this.,I don't have information about whether APRA regulates banks in Italy.
60,What are the lending protection in London?,I don't have the information to answer this.,I don't have information about lending protection in London.
61,Does money grow on trees?,I don't have the information to answer this.,I don't have information about whether money grows on trees.
62,Where are my keys?,I don't have the information to answer this.,I don't have information about where your keys are.
63,Where is the next petrol station?,I don't have the information to answer this.,I don't have information about the location of petrol stations.
64,How do I make a good apple pie?,I don't have the information to answer this.,"I don't have information about how to make an apple pie. I am an AI trained to provide information on financial regulations and banking statistics, specifically APRA guidelines."
65,How do I build Lego Star Wars?,I don't have the information to answer this.,I don't have information about building Lego Star Wars.
66,How many times did my dog bark at stragners?,I don't have the information to answer this.,I don't have information about how many times your dog barked at strangers.
67,Can I grow onions in Autum?,I don't have the information to answer this.,I don't have information about growing onions.
68,What is APRAs role in regulating insurance companies in Australia?,"APRA is responsible for the prudential regulation of, and developing prudential policy for, authorised deposit-taking institutions; general insurance, life insurance and friendly societies, private health insurance and reinsurance companies; and most of the superannuation industry.","APRA (Australian Prudential Regulation Authority) plays a crucial role in regulating insurance companies in Australia.  It sets the prudential standards that insurance companies must comply with, ensuring their financial soundness and protecting policyholders' interests. 

APRA's specific roles in regulating insurance companies include:

* **Setting prudential standards:** APRA develops and enforces prudential standards, such as capital adequacy requirements, investment limits, and risk management frameworks, to ensure insurance companies can meet their financial obligations to policyholders.
* **Supervising insurance companies:** APRA monitors insurance companies' financial performance, risk management practices, and compliance with prudential standards. This involves reviewing their financial reports, conducting onsite inspections, and engaging with their management teams.
* **Licensing and registration:** APRA grants licenses and registrations to insurance companies operating in Australia, ensuring they meet specific criteria and are fit to conduct insurance business.
* **Enforcing compliance:** APRA takes action against insurance companies that breach prudential standards or engage in misconduct, which can range from issuing warnings to imposing penalties and even revoking licenses.
* **Promoting financial stability:** APRA actively promotes a stable and resilient insurance industry by supporting responsible financial practices, overseeing the development of innovative products and services, and mitigating risks to the financial system. 

Through these regulatory activities, APRA ensures a safe and sound insurance sector in Australia, protecting policyholders from financial losses and fostering a strong and competitive market."
69,What Is the Liquidity Coverage Ratio (LCR)?,The liquidity coverage ratio (LCR) refers to the proportion of highly liquid assets that financial institutions must hold to ensure that they can meet their short-term obligations and ride out any disruptions in the market. It is mandated by international banking agreements known as the Basel Accords.,"The Liquidity Coverage Ratio (LCR) is a key prudential standard in Australia, designed to ensure that Authorised Deposit-taking Institutions (ADIs) have sufficient liquid assets to meet their obligations during a 30-day period of severe liquidity stress.  

Here's a breakdown of the LCR:

**Objective:**
The LCR aims to ensure ADIs have enough high-quality liquid assets (HQLA) that can be easily converted into cash to cover net cash outflows during a 30-day severe liquidity stress scenario. 

**Components:**
The LCR has two main components:

1. **Numerator:** This represents the value of the ADI's stock of HQLA under stressed conditions. 
2. **Denominator:** This represents the total net cash outflow, calculated based on a specific stress scenario.

**Calculation:**
The LCR is calculated by dividing the value of the stock of HQLA by the total net cash outflow:

* **LCR = Stock of HQLA / Total Net Cash Outflow**

The result is expressed as a percentage, and ADIs must maintain an LCR of at least 100%. 

**Key Features:**

* **HQLA:**  The HQLA must meet operational requirements, meaning it must be readily available for sale or repurchase to generate cash. There are specific categories of assets that qualify as HQLA, including government bonds, central bank reserves, and certain types of corporate debt.
* **Stress Scenario:**  The LCR calculation involves a specific stress scenario, which is outlined in the APRA guidelines. This scenario assumes a significant decline in market liquidity and a surge in customer withdrawals.
* **Net Cash Outflow:**  The net cash outflow is calculated by subtracting expected cash inflows from expected cash outflows.  The guidelines outline specific categories of liabilities and assets that are used to calculate these cash flows.
* **Buffer:**  ADIs must maintain an appropriate buffer of HQLA above the minimum requirement, reflecting their liquidity risk tolerance and other factors.

**APRA's Role:**

APRA monitors ADIs' LCR positions and may impose additional requirements if they are concerned about an ADI's liquidity risk profile or the quality of their liquidity risk management."
70,Is APRA responsible for consumer complaints in the financial sector?,I don't have the information to answer this.,I don't have information about whether APRA is responsible for consumer complaints in the financial sector.
71,What is the Prudential Standard CPS 234?,"CPS 234 aims to reduce cyber risk and improve cybersecurity by requiring that APRA-regulated entities maintain an information security capability commensurate with their information security vulnerabilities and threats, and employ vendor risk management practices to reduce the likelihood and impact of incidents involving related or third-parties.  ",I don't have information about the specific content of Prudential Standard CPS 234.
72,What happens if an institution fails to meet APRAs capital requirements?,"Any breach of the required minimum ratios is a very significant prudential concern and would signal deficiencies in financial management or underlying financial soundness. As a result, APRA takes swift action on any potential breaches of minimum capital requirements.","If an institution fails to meet APRA's capital requirements, they must notify APRA of the breach or prospective breach, and inform APRA of the remedial action taken or planned to deal with the breach. They must also inform APRA as soon as practicable of any significant departure from their internal capital adequacy assessment process (ICAAP) or any indication of significant adverse changes to market pricing or trading of capital instruments."
73,How many types of kangaroos does APRA regulate?,I don't have the information to answer this.,I don't have information about kangaroos.
74,Can APRA approve pet insurance policies for endangered animals?,I don't have the information to answer this.,I don't have information about pet insurance policies for endangered animals.
75,Is APRA responsible for setting interest rates?,I don't have the information to answer this.,I don't have information about whether APRA is responsible for setting interest rates.
76,What are APRAs stress testing requirements for banks?,"The starting point in developing a stress test is to design the scenarios. This is the foundation of the exercise, and it is important that scenarios are calibrated effectively and are well targeted. For industry stress tests, APRA collaborates with both the Reserve Bank of Australia (RBA) and Reserve Bank of New Zealand (RBNZ) on the design of scenarios and the economic parameters that define them. In 2017, APRA also engaged with the Australian Securities and Investments Commission (ASIC) in the design of the operational risk scenario.

Scenarios should be aligned to the purpose of the exercise. At a high level, these are guided within APRA by several objectives  namely to:

assess system-wide and entity-specific resilience to severe but plausible scenarios;
improve stress testing capabilities across the industry; and
support the identification and assessment of core and emerging risks.
In line with these objectives, APRA developed two scenarios for the 2017 industry stress test. The first was a macroeconomic scenario with a China-led recession in Australia and New Zealand. This was considered the most severe but plausible adverse economic scenario for the banking system at the time.[1] In this scenario, there was assumed to be a fall in Australian GDP of 4 per cent, while house prices declined 35 per cent nationally over three years. The chart below provides an indication of the severity of the scenario: it shows that the assumed peak unemployment rate in the scenario was similar to the 1990s recession in Australia, the United States experience in the global financial crisis (GFC), as well as recent overseas regulatory stress tests.","APRA's stress testing requirements for banks are outlined in the prudential standard ""APS 220 Stress Testing"" which addresses the following:

* **Purpose of Stress Testing:** The primary goals of stress testing are to evaluate a bank's capacity to absorb potential large losses and identify steps to reduce risk and conserve capital.
* **Scope of Stress Testing:** The stress testing program must reflect the bank's specific risk characteristics and portfolio. It must combine supervisory stress scenarios with internally developed stress tests.
* **Scenarios:** Stress testing scenarios must include severe and plausible adverse conditions that consider factors like severe market conditions, illiquidity, and price concentration.
* **Granularity:** Banks must conduct stress testing at a granular level that allows for adequate sensitivity to different risk characteristics and exposure types.
* **Analysis and Reporting:** The analysis must include contingency plans for potential board and senior management actions in response to various scenarios. Additionally, the stress testing program must be well-documented and include information on scenarios, key assumptions, results, and capital impacts.
* **Validation:** The stress testing model must be appropriately validated and checked independently by appropriately qualified external parties.
* **Regular Review:** Banks must establish a system for independent and regular reviews of their credit risk management processes and practices. The results of these reviews must be communicated directly to the board and senior management.

In addition to these general requirements, APRA may set specific limits on exposure categories for banks that are deemed to be taking on excessive credit risk relative to their financial and operational capacity.

It's important to note that this is a summary of APRA's stress testing requirements, and the full details are available in the relevant prudential standard, APS 220."
77,What is RWA?,"Risk-weighted asset is a bank's assets or off-balance-sheet exposures, weighted according to risk. This sort of asset calculation is used in determining the capital requirement or Capital Adequacy Ratio for a financial institution.","RWA stands for **Risk-Weighted Asset**.  It is a measure of a bank's capital adequacy, calculated according to specific prudential standards like APRA's Prudential Standard APS 111 Capital adequacy: standardised approach to credit risk.  

RWA is used to determine the amount of capital a bank needs to hold against its credit risk. This is calculated by applying a risk weight to the bank's assets, with higher risk weights being applied to assets that are considered more risky. The resulting RWA figure is then used to calculate the bank's capital adequacy ratio."
78,What is the role of APRA during a financial crisis?,Resolution  APRA's resolution function is directed at protecting the Australian community from financial loss and disruption by planning for and implementing prompt and effective responses to a crisis in the financial system.,"The provided context describes APRA's regulatory and reporting requirements for various financial institutions and their activities. However, it does not specifically mention the role of APRA during a financial crisis. 

Therefore, I don't have information about APRA's role during a financial crisis."
79,How many koalas need to join a bank for APRA to intervene?,I don't have the information to answer this.,I don't have information about the number of koalas needed to join a bank for APRA to intervene.
80,What is the purpose of APRAs Prudential Standard APS 330?,"Australian Prudential Standard APS 330 'Public Disclosure', requires ADI's to undertake periodic disclosure of information on their capital adequacy, capital instrument and remuneration practices to contribute to the transparency of financial markets and to enhance market discipline.",The purpose of APRA's Prudential Standard APS 330 is to set out the minimum requirements that an Authorised Deposit-taking Institution (ADI) must meet to ensure they are adequately prepared for becoming a declared ADI under the Financial Claims Scheme (FCS).
