,#,Question,Answer,RAG 3
11,12,Can you explain the concept of Credit Risk Management under Australian prudential regulations?,"Credit management is the process of deciding which customers to extend credit to and evaluating those customers creditworthiness over time. It involves setting credit limits for customers, monitoring customer payments and collections, and assessing the risks associated with extending credit to customers."," Credit risk management refers to the process of identifying, assessing, and controlling potential risks associated with lending money to borrowers. In Australia, prudential regulations require banks and other financial institutions to have robust credit risk management practices in place to ensure the safety and stability of the financial system. This includes setting appropriate risk limits, conducting thorough credit assessments, and regularly monitoring and reviewing credit portfolios. The goal of credit risk management is to minimize the likelihood of default and financial losses, while also promoting responsible lending practices."
12,13,What are the key elements of a Capital Adequacy Framework under Australian banking regulations?,"Under Australian banking regulations, the Capital Adequacy Framework, governed by APRA, is designed to ensure banks maintain sufficient capital to absorb losses, support depositor protection, and promote financial stability. The key elements of this framework include:

1. **Minimum Capital Requirements**:
   - **Tiered Capital Ratios**: APRA requires banks to meet minimum capital ratios as outlined in Prudential Standard APS 110 (Capital Adequacy), consistent with the Basel III framework. These include:
     - **Common Equity Tier 1 (CET1)**: The highest-quality capital, consisting mainly of common shares and retained earnings.
     - **Tier 1 Capital**: CET1 plus additional Tier 1 capital instruments.
     - **Total Capital Ratio**: Tier 1 capital plus Tier 2 capital, which includes subordinated debt and other forms of capital that can absorb losses.
   - **Capital Buffers**: Banks must maintain additional buffers above minimum ratios, including a **Capital Conservation Buffer** and, for larger banks, a **Countercyclical Capital Buffer** to protect against cyclical downturns.

2. **Risk-Weighted Assets (RWA)**:
   - Banks calculate their RWA based on the risk profile of their assets, where riskier assets receive higher weights. APRA requires banks to categorize their assets according to the level of credit, market, and operational risks they pose, which helps determine the capital needed to support these assets.

3. **Pillar 2 Ð Supervisory Review**:
   - APRA performs a **Supervisory Review and Evaluation Process (SREP)** under Pillar 2 to assess banksÕ internal capital adequacy and risk management processes. Based on its evaluation, APRA may impose additional capital requirements to cover risks specific to each institution beyond the Pillar 1 minimums.

4. **Pillar 3 Ð Market Discipline and Disclosure**:
   - Banks are required to disclose certain information regarding their capital adequacy and risk exposures on a regular basis under Pillar 3. These disclosures, which include capital ratios, RWA breakdowns, and descriptions of risk management practices, aim to increase transparency and market discipline by enabling stakeholders to assess a bankÕs risk and capital position.

5. **Stress Testing**:
   - APRA mandates regular stress testing as part of banksÕ internal capital adequacy assessments and also conducts industry-wide stress tests. These tests simulate adverse scenarios to evaluate the resilience of banksÕ capital positions and assess whether they hold sufficient capital to withstand economic shocks.

6. **Internal Capital Adequacy Assessment Process (ICAAP)**:
   - Each bank must have an ICAAP, which is a structured framework for assessing capital adequacy in relation to its risk profile and operational strategy. The ICAAP, submitted annually to APRA, includes capital planning, risk measurement, and scenario analysis to ensure sufficient capital levels are maintained under varying economic conditions.

The Capital Adequacy Framework, with its requirements for minimum capital ratios, RWA calculations, supervisory review, disclosure, stress testing, and ICAAP, provides APRA with a comprehensive approach to overseeing the capital strength and resilience of Australian banks."," The key elements of a Capital Adequacy Framework under Australian banking regulations include risk-weighted assets, minimum capital requirements, capital buffers, and capital ratios."
13,14,How do Australian banks calculate their risk-weighted assets (RWA) under Basel III?,"
Banks calculate risk-weighted assets by multiplying the exposure amount by the relevant risk weight for the type of loan or asset. A bank repeats this calculation for all of its loans and assets, and adds them together to calculate total credit risk-weighted assets.", Australian banks calculate their risk-weighted assets (RWA) under Basel III by assigning a risk weight to each asset based on its credit risk. This risk weight is determined by the type of asset and the credit rating of the borrower. The total RWA is then calculated by multiplying the risk weight by the value of the asset. This calculation is used to determine the minimum capital requirements for banks under Basel III regulations.
14,15,Can you explain the concept of Systemic Risk under Australian prudential regulations?,Systemic risk is the risk of financial system disruption so widespread or severe that it causes material damage to the real economy. ," Systemic risk refers to the risk of a widespread financial crisis or collapse of the financial system, caused by the failure of one or more financial institutions. Under Australian prudential regulations, systemic risk is managed through various measures such as stress testing, capital requirements, and risk management frameworks to ensure the stability and resilience of the financial system. The Australian Prudential Regulation Authority (APRA) closely monitors and assesses the potential systemic risks in the banking sector and takes necessary actions to mitigate them."
15,16,Can you explain the concept of Disclosures for the identification of potential G-SIBs under Australian prudential regulations?,"Every year, a sample of international banks must provide information to the Basel Committee for Banking Supervision (BCBS) for assessment against a set of indicators that identify potential Global Systemically Important Banks (G-SIBs).", I don't have the information to answer this.
16,17,Can you explain the concept of Liquidity Risk under Australian prudential regulations?,"Liquidity risk is the possibility an institution will be unable to obtain funds, such as customer deposits or borrowed funds, at a reasonable price or within a necessary period to meet its financial obligations."," Liquidity risk refers to the potential for a bank or financial institution to be unable to meet its financial obligations due to a lack of available funds. Under Australian prudential regulations, banks are required to maintain a certain level of liquidity to ensure they can meet their financial obligations, such as customer withdrawals or loan repayments. This is to protect depositors and maintain stability in the financial system. Banks must also have contingency plans in place to manage liquidity risk in case of unexpected events."
17,18,Who are High-Risk Customers?,"High-risk customers are individuals or entities that pose a greater risk to a business or financial institution due to different factors. These factors may include a higher likelihood of involvement in illegal activities, financial instability, or a history of behavior that could lead to financial losses for the institution.

Financial institutions are required to identify high-risk customers for several reasons. One of the most important reasons is compliance with AML requirements and regulations. But what is AML compliance?", I don't have the information to answer this.
18,19,What is the meaning of credit risk mitigation?,"Credit risk mitigation is a process by which a company reduces its exposure to credit risks. It involves assessing creditworthiness, monitoring credit profiles, and managing risks to prevent revenue loss, ensuring a healthy balance sheet and cash flows."," Credit risk mitigation refers to the strategies and techniques used by banks and financial institutions to reduce the potential losses from default or non-payment by borrowers. This can include measures such as collateral requirements, credit insurance, and diversification of loan portfolios."
19,20,Do Australian banks have to report their exposure to interest rate risk?,"The Australian Prudential Regulation Authority (APRA) requires banks to summarise and report on the extent of interest rate risk that they face. For the banking book, this is measured as the expected change in economic value from a 200 basis point increase in interest rates at all maturities."," Yes, Australian banks are required to report their exposure to interest rate risk. This is mandated by the Australian Prudential Regulation Authority (APRA) as part of their banking regulations."
20,21,How do you calculate risk-weighted assets in RWA?,"Banks calculate risk-weighted assets by multiplying the exposure amount by the relevant risk weight for the type of loan or asset. A bank repeats this calculation for all of its loans and assets, and adds them together to calculate total credit risk-weighted assets.", I don't have the information to answer this.
21,22,What is an aps 310 audit?,APS 310/3PS 310 requires the appointed auditor to provide two different levels of assurance over the reliability of a specific set of ADI Reporting Forms at the ADIs financial year-end.," An APS 310 audit is a type of audit conducted by the Australian Prudential Regulation Authority (APRA) to assess the compliance of banks with APS 310, which is a set of prudential standards for managing credit risk. This audit evaluates the effectiveness of a bank's risk management framework and its ability to identify, measure, monitor, and control credit risk."
22,23,What is the audit and assurance policy statement?,An Audit and Assurance Policy (AAP) is intended to set out a companys approach to assuring the quality of the information it reports to shareholders (and other stakeholders) beyond that contained within the financial statements., I don't have the information to answer this.
23,24,What is counterparty credit risk in derivatives?,Counterparty credit risk isÊthe risk arising from the possibility that the counterparty may default on amounts owned on a derivative transaction.Ê," Counterparty credit risk in derivatives refers to the risk that one party in a derivative contract may default on their obligations, resulting in financial losses for the other party. This risk is particularly relevant in over-the-counter (OTC) derivatives, where there is no central clearinghouse to guarantee the performance of the contract."
24,25,What is concentration risk?,Concentration risk is the potential for a loss in value of an investment portfolio or a financial institution when an individual or group of exposures move together in an unfavorable direction. The implication of concentration risk is that it generates such a significant loss that recovery is unlikely.," Concentration risk is the potential for loss due to a large exposure to a single borrower, counterparty, or group of related borrowers or counterparties. It is a type of financial risk that arises from having a significant portion of assets or liabilities concentrated in a particular sector, industry, geographic region, or counterparty. This can make a financial institution vulnerable to adverse events that affect that particular sector, industry, region, or counterparty, leading to potential losses."
25,26,What measures for the management of interest rate risk can be used by an Organisation?,"Gap analysis, duration analysis and stimulation models are interest rate risk measurement techniques. Each institution should use at least one, and preferably a combination of these techniques in managing its interest rate risk exposure."," Some measures that an organization can use for the management of interest rate risk include interest rate swaps, interest rate caps and floors, and interest rate futures contracts. They can also use asset-liability matching, duration matching, and interest rate risk models to manage their exposure to interest rate fluctuations. Additionally, they can implement policies and procedures to monitor and mitigate interest rate risk, such as setting limits on interest rate-sensitive assets and liabilities and regularly reviewing and adjusting their interest rate risk management strategies."
26,27,How must banks assess and manage risks associated with outsourcing arrangements according to CPS 231?,All risks arising from outsourcing material business activities must be appropriately managed to ensure that the APRA-regulated entity is able to meet both its financial and service obligations to its depositors and/or policyholders. notify APRA after entering into agreements to outsource material business activities.," Banks must assess and manage risks associated with outsourcing arrangements according to CPS 231 by conducting due diligence, establishing clear contractual arrangements, monitoring and reviewing the outsourcing arrangement, and having contingency plans in place. They must also ensure that the outsourcing arrangement does not compromise the bank's ability to comply with regulatory requirements and that the service provider has appropriate risk management and security measures in place. Additionally, banks must have a comprehensive outsourcing policy and regularly report on their outsourcing arrangements to the board."
27,28,"What are the requirements for business continuity planning under CPS 232, and how must banks demonstrate resilience to operational disruptions?","Under CPS 232, an APRA-regulated entity must identify, assess, manage, mitigate and report on potential business continuity risks to ensure that it can meet its financial and service obligations."," The requirements for business continuity planning under CPS 232 include developing and maintaining a business continuity plan, conducting regular testing and reviews of the plan, and ensuring that the plan is aligned with the bank's risk profile and operational capabilities. Banks must also have a designated business continuity management function and ensure that all staff are trained and aware of their roles and responsibilities in the event of an operational disruption. To demonstrate resilience to operational disruptions, banks must have a robust and comprehensive business continuity plan in place, regularly test and review the plan, and have the ability to quickly and effectively respond to and recover from disruptions. They must also have contingency plans in place for critical systems and processes, and regularly assess and monitor their operational risks."
28,29,What are the obligations for banks under CPS 234 regarding the protection of information assets and managing cyber security risks?,"Under CPS 234, APRA-regulated entities must implement information security controls to protect information assets, including those managed by related or third-parties, in a timely manner and commensurate with: Existing and emerging vulnerabilities and threats to critical and sensitive information assets."," The obligations for banks under CPS 234 include implementing measures to protect information assets and manage cyber security risks, conducting regular risk assessments, and having a robust incident response plan in place. They are also required to report any significant cyber security incidents to APRA and ensure that their third-party service providers comply with the CPS 234 requirements."
29,30,What is the CPS 510 governance standard?,"This standard requires an entity to have a sound governance framework and to conduct its affairs with a high degree of integrity. Entities must meet specific requirements for board committees, appointments, renewal and performance. This is a core standard in the Governance Pillar.", I don't have the information to answer this.
30,31,What is a responsible person in APRA?,"Persons who are responsible for the management and oversight of an APRA-regulated entity need to have appropriate skills, experience and knowledge and act with honesty and integrity. These skills and qualities strengthen the protection afforded to depositors, policyholders and/or other stakeholders.", I don't have the information to answer this.
31,32,How must banks structure their remuneration practices under CPS 510 to align with risk management objectives?,CPS 510 54 The Remuneration Policys performance-based components of remuneration must be designed to encourage behaviour that supports: (a) the institutions long-term financial soundness; and (b) the risk management framework of the institution. (c) the risk management framework of the RSE licensee.," Banks must structure their remuneration practices under CPS 510 to align with risk management objectives by implementing a risk-based approach to remuneration, ensuring that remuneration policies and practices do not encourage excessive risk-taking, and aligning remuneration with long-term performance and risk outcomes. They must also have appropriate governance and oversight mechanisms in place to monitor and review their remuneration practices and ensure they are in line with risk management objectives."
32,33,What is risk culture assessment?,"The Risk Culture Assessment report aggregates information gained during each step. The report provides (i) maturity levels for each Risk Culture attribute, (ii) improvement opportunities identified, and (iii) mitigation actions formulated as recommendations (see Examples)."," Risk culture assessment is a process used by banks to evaluate and measure the effectiveness of their risk culture, which refers to the attitudes, behaviors, and values within an organization that influence how risks are identified, managed, and communicated. This assessment helps banks identify any gaps or weaknesses in their risk culture and make improvements to ensure a strong risk culture is embedded throughout the organization."
33,34,What is CPS 230?,"What is CPS 230? CPS 230 requires regulated APRA-regulated entities to prepare for service disruptions by understanding the impacts of such events to customers and the wider financial system, take action to prevent these and enhance its operational resilience."," CPS 230 is a prudential standard issued by the Australian Prudential Regulation Authority (APRA) that sets out the requirements for risk management and governance for authorized deposit-taking institutions (ADIs). It aims to ensure that ADIs have robust risk management frameworks in place to identify, measure, monitor, and control risks."
34,35,When should I first contact APRA,"Once you have developed an early stage business plan it can be beneficial to have a meeting with APRA. At this meeting APRA can provide high level views of any likely challenges with your proposals, allowing you to make adjustments to ensure your business develops in a way that is most likely to result in a successful application. APRA will also be able to provide advice about APRAÕs prudential requirements and expectations and answer any questions you have about what to expect in the licensing process. ÊÊ", I don't have the information to answer this.
35,36,If I am applying for an ARPA licence will I need any other tyoe of licence,"It is likely that you will need to be licenced by ASIC. You may also need to seek authorisation or to register with other regulators, such as the RBA and AUSTRAC. You should allow time for their assessment processes.", I don't have the information to answer this.
36,37,I want to register a company name with an APRA regulate restricted term. How do I do this?,"Once you have lodged your application with APRA you should advise APRA in writing of the specific company name that you want to register and request APRAÕs consent if the name includes an APRA regulated restricted term. APRA regulated restricted terms include the words ÔbankÕ, ÔbankerÕ, ÔbankingÕ, Ôbuilding societyÕ, Ôcredit unionÕ, Ôcredit societyÕ and Ôfriendly societyÕ. If you want to register a company name that uses the restricted words in section 66 of the Banking Act 1959 (such as the words ÔbankÕ, ÔbankerÕ and ÔbankingÕ), please also refer to the APRAÕs Restricted Words under the Banking Act 1959 Guidelines: If consent is granted by APRA, it will usually be subject to conditions, such as not using the company name publicly prior to licensing. It is an offence for a person to use a restricted word or expression under section 66 in relation to a financial business, except where APRA has granted a consent or exemption, or where a statutory exception applies.

If you want to register a company name that uses the restricted term Ôfriendly societyÕ you will need to apply for consent from APRA under section 16E of the Life Insurance Act 1995.  It is an offence for a person to use the restricted expression Òfriendly societyÓ in relation to a financial business, except where APRA has granted a consent or determined that section 16E does not apply to that person. "," To register a company name with an APRA regulated restricted term, you will need to follow the guidelines and procedures set by APRA. This may include obtaining approval from APRA and providing evidence that the use of the restricted term is necessary for your company's operations. It is recommended to consult with an APRA expert or legal advisor for specific instructions and assistance with the registration process."
37,38,Can APRA provide further guidance beyond CPS and GPG220 Risk Management as to what should be included in the Risk Appetite Statement (RAS)?,"What is a RAS?The RAS is a document that provides boundaries within which both management and staff know how it is acceptable to operate. It provides ground rules which should be very clear for management in terms of what they are, and are not, allowed to do in pursuit of the institutionÕs business strategy and objectives. Without such boundaries and ground rules, management (and ultimately all staff) may be unaware that they are operating outside of the risk appetite set by the Board.Ê How should the RAS be structured? APRA does not prescribe the structure or form of your RAS and you are generally free to adopt a risk appetite that suits the particular circumstances of your business, within the requirements of the prudential standards.A RAS should be a concise document and should not include all management reporting. It is unlikely that a RAS would need to have an appendix as it would not be expected that there would be ancillary information in a RAS.  What content should be covered in the RAS? The RAS should cover both high-level qualitative statements and, where appropriate, quantitative measures, which combined clearly capture your attitude towards, and level of acceptance of, its different risks. The RAS should consider the material risks to your company as well as to your reputation with policyholders/depositors, investors and customers. The RAS should also closely align with your strategic direction.Qualitative statements should set the overall tone for your approach to risk taking and should also clearly articulate the BoardÕs motivations for taking on or avoiding certain types of risks or exposures. In this way, qualitative statements advise stakeholders of your attitude toward risk taking by placing high-level boundaries around the types of activities you are prepared to undertake.Qualitative statements are likely where a hard boundary for operations is being set rather than a metric with variables or a scale.How do we demonstrate that the RAS has/will be applied? Your business strategy and policies should operate in line with your RAS. Once the Board has approved your RAS, you should be able to evidence decisions being made in line with it.Additionally, as the RAS needs to be used by a number of stakeholders consistently across all of your business operations it must be easy to communicate and written in plain English. A RAS which is not easily understood will be difficult to embed throughout your organisation, as staff will not know how they are expected to behave and what they are permitted to do in order to operate within the risk appetite.Ê*ÊInformation contained in this section is a summary of all information available from APRA including Information Papers, letters to industry and speeches. The questions and answers are designed to clarify CPS 220 Risk Management but do not form part of the law or create enforceable requirements. If there is a conflict between the guidance contained in this FAQ and CPS 220 Risk Management, then the requirements of CPS 220 Risk Management prevail.", I don't have the information to answer this.
38,39,What is required in the external auditor's verification of minimum captial?,"APRA requires the applicant to provide written verification from its appointed external auditor that it meets the minimum regulatory capital level required prior to licensing. This must include meeting the applicable minimum level of capital and capital ratios. The written verification should set out the steps taken by the external auditor in making the verification, including the calculation of minimum capital requirements where applicable. For life insurers, the verification should address the solvency of each statutory fund, as well as the minimum capital requirements and capital ratios for each of its statutory funds and the life company as a whole. RSE applicants are required to attach an audited copy of the applicantÕs statement of financial position for the last two years to their applications, but do not need a separate verification of solvency.
"," The external auditor is required to verify the minimum capital of a bank in order to ensure compliance with APRA regulations. This includes verifying the accuracy of the bank's financial statements and assessing the adequacy of the bank's capital reserves. The auditor must also review the bank's risk management practices and assess the bank's ability to withstand potential financial shocks. Additionally, the auditor must ensure that the bank is following all relevant APRA guidelines and regulations related to minimum capital requirements."
39,40,What documents do I need for a Non-Operating Holding Company?,The level ofÊdetail and need for difference from the underlying ADI or insurer will depend on whether there are other entities under the NOHC and the type of operations in those entities. It is possible that one set of policies can cover both the NOHC and ADI or insurer with differences for the NOHC and ADI or insurer detailed in the document. ÊYou should discuss the requirements that will suit your circumstances with APRA., I don't have the information to answer this.
40,41,Our business won't have a trading desk - do we need any policies covering market risks?,"Yes, you will need at least a policy detailing how you will address managing Interest Rate Risk in the Banking Book (IRRBB). The market risk policy/ies should also specifically state that the ADI will not undertake any proprietary trading business if this is the case. 

"," Yes, even if your business does not have a trading desk, it is still important to have policies in place to cover market risks. These policies can help mitigate potential risks and ensure compliance with APRA regulations."
41,42,"As a restricted ADI/ADI applicant, when do I need to provide information about compliance with the Bank Executive Accountability Regime (BEAR)?","The BEAR regime applies to Restricted ADI/ADIs and imposes notification obligations to APRA on compliance with the BEAR regime. Templates for these notification obligations, including accountability statements and accountability maps, are available on the APRA website and will need to be completed as a pre-licence requirement. The time frame for reporting changes of 14 calendar days applies to RADIs as well as ADIs."," According to the information retrieved from the vector store, as a restricted ADI/ADI applicant, you need to provide information about compliance with the Bank Executive Accountability Regime (BEAR) when you apply for a banking license."
42,43,How should securitisation  warehouse funding risks be addressed?,"Start-up ADIs are often reliant on securitisation warehouse facilities to quickly build lending volumes. For start-up ADIs reliant on securitisation warehouse facilities (e.g. greater than 20 per cent of funding in any projected year), APRA expects the warehouse facility to be automatically placed into amortisation if the warehouse facility is not renewed.  Where this occurs, this will be considered long-term wholesale funding and will not add to the minimum MLH requirement. This approach reduces the risk that the reliance on warehouse facilities would result in a situation where the new ADI either has to transfer the mortgages to the warehouse provider, who may replace the new ADI as servicer or sell the mortgages to another party, or take the assets back on balance sheet at the end of the contractual term if the facility is not renewed. These scenarios would likely threaten the viability of the start-up ADI, as it is unlikely to have sufficient funding to repay the facility, and loss of mortgages will eliminate servicing income and retained equity in the warehoused mortgages.  
", I don't have the information to answer this.
